Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
05;Oppland;;;;;HELSE;Helsepartiet;0,41935;143221;164;291;455;0,41935;0,41935;0;0;
05;Oppland;;;;;KRISTNE;Partiet De Kristne;0,16959;143221;75;109;184;-0,25868;-0,10708;0;0;
05;Oppland;;;;;KYST;Kystpartiet;0,03687;143221;12;28;40;-0,03203;0,03687;0;0;
05;Oppland;;;;;LIBS;Liberalistene;0,13456;143221;54;92;146;0,13456;0,13456;0;0;
05;Oppland;;;;;PP;Pensjonistpartiet;0,41751;143221;200;253;453;-0,32917;-1,14051;0;0;
05;Oppland;;;;;BLANKE;Blanke;0,6424;143221;158;539;697;0,18806;-0,85187;0;0;
06;Buskerud;;;;;A;Arbeiderpartiet;28,27325;198720;15667;27476;43143;-3,48143;-5,54219;3;0;
06;Buskerud;;;;;SV;Sosialistisk Venstreparti;5,00809;198720;2579;5063;7642;2,27532;2,16113;1;1;
06;Buskerud;;;;;RØDT;Rødt;1,48106;198720;958;1302;2260;0,87697;0,46873;0;0;
06;Buskerud;;;;;SP;Senterpartiet;10,77769;198720;4768;11678;16446;4,69669;2,76216;1;0;
06;Buskerud;;;;;KRF;Kristelig Folkeparti;2,61808;198720;1422;2573;3995;-0,62801;-0,76886;0;0;
06;Buskerud;;;;;MDG;Miljøpartiet De Grønne;2,69475;198720;1755;2357;4112;0,46194;-1,88999;0;0;
06;Buskerud;;;;;V;Venstre;3,67251;198720;1872;3732;5604;-0,94197;-0,7295;0;0;
06;Buskerud;;;;;H;Høyre;26,87607;198720;14594;26417;41011;-2,17053;-2,91927;2;0;
06;Buskerud;;;;;FRP;Fremskrittspartiet;17,31338;198720;9187;17232;26419;-1,27938;6,33485;2;0;
06;Buskerud;;;;;ALLI;Alliansen;0,14483;198720;100;121;221;0,14483;0,14483;0;0;
06;Buskerud;;;;;DEMN;Demokratene i Norge;0,13172;198720;87;114;201;0,07832;-0,03639;0;0;
06;Buskerud;;;;;HELSE;Helsepartiet;0,56031;198720;358;497;855;0,56031;0,56031;0;0;
06;Buskerud;;;;;KRISTNE;Partiet De Kristne;0,18022;198720;105;170;275;-0,31107;-0,23732;0;0;
06;Buskerud;;;;;KYST;Kystpartiet;0,05964;198720;34;57;91;-0,03048;-0,06462;0;0;
06;Buskerud;;;;;LIBS;Liberalistene;0,2084;198720;99;219;318;0,2084;0,2084;0;0;
06;Buskerud;;;;;BLANKE;Blanke;0,68483;198720;322;723;1045;0,13947;-0,82636;0;0;
07;Vestfold;;;;;A;Arbeiderpartiet;27,95581;181612;12134;26984;39118;-1,65019;-4,7799;2;0;
07;Vestfold;;;;;SV;Sosialistisk Venstreparti;4,9504;181612;2176;4751;6927;1,13565;1,88392;0;0;
07;Vestfold;;;;;RØDT;Rødt;1,85953;181612;1004;1598;2602;1,18438;0,55423;0;0;
07;Vestfold;;;;;SP;Senterpartiet;6,27251;181612;2403;6374;8777;3,31401;1,41316;0;0;
07;Vestfold;;;;;KRF;Kristelig Folkeparti;3,6869;181612;1624;3535;5159;-1,19202;-1,38813;0;0;
07;Vestfold;;;;;MDG;Miljøpartiet De Grønne;2,93508;181612;1528;2579;4107;0,46701;-2,24216;0;0;
07;Vestfold;;;;;V;Venstre;3,83983;181612;1429;3944;5373;-0,67181;-0,62803;1;1;
07;Vestfold;;;;;H;Høyre;30,14336;181612;12787;29392;42179;0,18385;0,67447;3;0;
07;Vestfold;;;;;FRP;Fremskrittspartiet;16,88583;181612;7335;16293;23628;-2,65663;4,38072;1;0;
07;Vestfold;;;;;ALLI;Alliansen;0,13293;181612;67;119;186;0,13293;0,13293;0;0;
07;Vestfold;;;;;DEMN;Demokratene i Norge;0,11434;181612;69;91;160;0,06726;-0,10951;0;0;
07;Vestfold;;;;;HELSE;Helsepartiet;0,48025;181612;264;408;672;0,48025;0,48025;0;0;
07;Vestfold;;;;;KRISTNE;Partiet De Kristne;0,28801;181612;131;272;403;-0,21256;-0,20365;0;0;
07;Vestfold;;;;;KYST;Kystpartiet;0,07933;181612;48;63;111;-0,03441;-0,12817;0;0;
07;Vestfold;;;;;LIBS;Liberalistene;0,22083;181612;70;239;309;0,22083;0,22083;0;0;
07;Vestfold;;;;;PIR;Piratpartiet;0,15508;181612;69;148;217;-0,18829;-0,26094;0;0;
07;Vestfold;;;;;BLANKE;Blanke;0,71322;181612;286;712;998;0,20106;-0,74131;0;0;
08;Telemark;;;;;A;Arbeiderpartiet;31,93141;129712;8740;22191;30931;-4,81127;-6,5156;2;0;
08;Telemark;;;;;SV;Sosialistisk Venstreparti;4,95525;129712;1408;3392;4800;1,69405;1,34787;0;0;
08;Telemark;;;;;RØDT;Rødt;2,10701;129712;745;1296;2041;1,20385;-0,16828;0;0;
08;Telemark;;;;;SP;Senterpartiet;12,8599;129712;3167;9290;12457;8,40538;1,11385;1;0;
08;Telemark;;;;;KRF;Kristelig Folkeparti;4,98106;129712;1432;3393;4825;-1,77225;-1,70418;1;1;
08;Telemark;;;;;MDG;Miljøpartiet De Grønne;2,46937;129712;992;1400;2392;0,30749;-1,54343;0;0;
08;Telemark;;;;;V;Venstre;2,6748;129712;783;1808;2591;-0,79176;-0,99877;0;0;
08;Telemark;;;;;H;Høyre;20,07392;129712;5453;13992;19445;-1,68787;3,46838;1;0;
08;Telemark;;;;;FRP;Fremskrittspartiet;16,53091;129712;4547;11466;16013;-2,43555;4,48149;1;0;
08;Telemark;;;;;ALLI;Alliansen;0,14246;129712;47;91;138;0,14246;0,14246;0;0;
08;Telemark;;;;;DEMN;Demokratene i Norge;0,13317;129712;45;84;129;0,07596;0,13317;0;0;
08;Telemark;;;;;HELSE;Helsepartiet;0,36545;129712;134;220;354;0,36545;0,36545;0;0;
08;Telemark;;;;;KRISTNE;Partiet De Kristne;0,55437;129712;188;349;537;-0,48468;-0,34334;0;0;
08;Telemark;;;;;KYST;Kystpartiet;0,08362;129712;27;54;81;0,01415;0,08362;0;0;
08;Telemark;;;;;LIBS;Liberalistene;0,1373;129712;53;80;133;0,1373;0,1373;0;0;
08;Telemark;;;;;BLANKE;Blanke;0,64521;129712;146;479;625;0,18035;-0,96404;0;0;
09;Aust-Agder;;;;;A;Arbeiderpartiet;25,44307;84426;5802;10679;16481;-2,57442;-6,28292;1;0;
09;Aust-Agder;;;;;SV;Sosialistisk Venstreparti;3,95517;84426;997;1565;2562;1,32878;1,07887;0;0;
09;Aust-Agder;;;;;RØDT;Rødt;1,24583;84426;360;447;807;0,69734;0,09743;0;0;
09;Aust-Agder;;;;;SP;Senterpartiet;8,31326;84426;1611;3774;5385;3,83791;1,19866;0;0;
09;Aust-Agder;;;;;KRF;Kristelig Folkeparti;9,8061;84426;2058;4294;6352;-1,35288;-2,61274;1;1;
09;Aust-Agder;;;;;MDG;Miljøpartiet De Grønne;2,58738;84426;764;912;1676;0,61282;-0,77958;0;0;
09;Aust-Agder;;;;;V;Venstre;3,27436;84426;743;1378;2121;-1,54758;-1,91144;0;0;
09;Aust-Agder;;;;;H;Høyre;25,64839;84426;5968;10646;16614;-0,27053;5,42125;1;0;
09;Aust-Agder;;;;;FRP;Fremskrittspartiet;17,28264;84426;3750;7445;11195;-0,64741;5,17046;1;0;
09;Aust-Agder;;;;;ALLI;Alliansen;0,09417;84426;27;34;61;0,09417;0,09417;0;0;
09;Aust-Agder;;;;;DEMN;Demokratene i Norge;0,15747;84426;41;61;102;0,08433;-0,16612;0;0;
09;Aust-Agder;;;;;HELSE;Helsepartiet;0,3844;84426;86;163;249;0,3844;0,3844;0;0;
09;Aust-Agder;;;;;KRISTNE;Partiet De Kristne;0,72558;84426;194;276;470;-0,64485;-0,33611;0;0;
09;Aust-Agder;;;;;KYST;Kystpartiet;0,03705;84426;7;17;24;-0,01859;0,03705;0;0;
09;Aust-Agder;;;;;LIBS;Liberalistene;0,18834;84426;42;80;122;0,18834;0,18834;0;0;
09;Aust-Agder;;;;;PIR;Piratpartiet;0,15747;84426;33;69;102;-0,12234;-0,21899;0;0;
09;Aust-Agder;;;;;PP;Pensjonistpartiet;0,69933;84426;207;246;453;0,13653;-1,36272;0;0;
09;Aust-Agder;;;;;BLANKE;Blanke;0,51408;84426;115;218;333;0,01328;-0,96214;0;0;
10;Vest-Agder;;;;;A;Arbeiderpartiet;21,0371;131684;6861;14377;21238;-2,75131;-4,63358;1;0;
10;Vest-Agder;;;;;SV;Sosialistisk Venstreparti;4,29201;131684;1411;2922;4333;1,66194;1,74238;0;0;
10;Vest-Agder;;;;;RØDT;Rødt;1,36298;131684;566;810;1376;0,89187;0,27313;0;0;
10;Vest-Agder;;;;;SP;Senterpartiet;6,48011;131684;1871;4671;6542;3,44652;1,1666;0;0;
10;Vest-Agder;;;;;KRF;Kristelig Folkeparti;12,62642;131684;3675;9072;12747;-1,23675;-4,52108;2;1;
10;Vest-Agder;;;;;MDG;Miljøpartiet De Grønne;2,88346;131684;1201;1710;2911;0,63438;-1,15523;0;0;
10;Vest-Agder;;;;;V;Venstre;3,61943;131684;1102;2552;3654;-0,6872;-0,54834;0;0;
10;Vest-Agder;;;;;H;Høyre;27,87975;131684;8863;19283;28146;0,41355;5,19651;2;0;
10;Vest-Agder;;;;;FRP;Fremskrittspartiet;17,1205;131684;5553;11731;17284;-1,17426;5,39564;1;0;
10;Vest-Agder;;;;;ALLI;Alliansen;0,09806;131684;33;66;99;0,09806;0,09806;0;0;
10;Vest-Agder;;;;;DEMN;Demokratene i Norge;0,74092;131684;281;467;748;0,21245;-1,59713;0;0;
10;Vest-Agder;;;;;HELSE;Helsepartiet;0,22386;131684;97;129;226;0,22386;0,22386;0;0;
10;Vest-Agder;;;;;KRISTNE;Partiet De Kristne;0,7855;131684;298;495;793;-1,23724;-0,55852;0;0;
10;Vest-Agder;;;;;KYST;Kystpartiet;0,06538;131684;13;53;66;0,02134;0,06538;0;0;
10;Vest-Agder;;;;;LIBS;Liberalistene;0,209;131684;80;131;211;0,209;0,209;0;0;
10;Vest-Agder;;;;;PIR;Piratpartiet;0,15155;131684;47;106;153;-0,13931;-0,22903;0;0;
10;Vest-Agder;;;;;PP;Pensjonistpartiet;0,42395;131684;204;224;428;-0,47834;-1,12765;0;0;
10;Vest-Agder;;;;;BLANKE;Blanke;0,47249;131684;128;349;477;0,12017;-0,42574;0;0;
11;Rogaland;;;;;A;Arbeiderpartiet;22,43656;321163;17005;39335;56340;-0,19982;-5,39407;4;0;
11;Rogaland;;;;;SV;Sosialistisk Venstreparti;3,94054;321163;3039;6856;9895;0,65368;1,1262;1;1;
11;Rogaland;;;;;RØDT;Rødt;1,15289;321163;1064;1831;2895;0,71232;0,45699;0;0;
11;Rogaland;;;;;SP;Senterpartiet;7,52545;321163;5130;13767;18897;2,2797;0,30585;1;0;
11;Rogaland;;;;;KRF;Kristelig Folkeparti;8,39957;321163;6322;14770;21092;-2,23448;-2,73476;1;0;
11;Rogaland;;;;;MDG;Miljøpartiet De Grønne;2,56623;321163;2420;4024;6444;0,37707;-1,12697;0;0;
11;Rogaland;;;;;V;Venstre;3,52478;321163;2457;6394;8851;-0,97532;-0,84764;0;0;
11;Rogaland;;;;;H;Høyre;28,75297;321163;21671;50530;72201;-1,36819;4,55559;4;0;
11;Rogaland;;;;;FRP;Fremskrittspartiet;19,69312;321163;16292;33159;49451;0,95541;4,0451;3;0;
11;Rogaland;;;;;ALLI;Alliansen;0,09199;321163;90;141;231;0,09199;0,09199;0;0;
11;Rogaland;;;;;DEMN;Demokratene i Norge;0,09558;321163;95;145;240;0,04778;-0,03891;0;0;
11;Rogaland;;;;;HELSE;Helsepartiet;0,21106;321163;189;341;530;0,21106;0,21106;0;0;
11;Rogaland;;;;;KRISTNE;Partiet De Kristne;0,50018;321163;445;811;1256;-0,45412;-0,35835;0;0;
11;Rogaland;;;;;KYST;Kystpartiet;0,09876;321163;78;170;248;0,0148;-0,05658;0;0;
11;Rogaland;;;;;LIBS;Liberalistene;0,25646;321163;190;454;644;0,25646;0,25646;0;0;
11;Rogaland;;;;;NKP;Norges Kommunistiske Parti;0,02987;321163;22;53;75;0,00202;0,02987;0;0;
11;Rogaland;;;;;PIR;Piratpartiet;0,17682;321163;128;316;444;-0,18271;-0,19433;0;0;
11;Rogaland;;;;;PP;Pensjonistpartiet;0,48824;321163;610;616;1226;-0,00679;-0,38646;0;0;
11;Rogaland;;;;;BLANKE;Blanke;0,57346;321163;426;1014;1440;0,22183;-0,49254;0;0;
11;Rogaland;;;;;VERDI;Verdipartiet;0,05894;321163;46;102;148;0,05894;0,05894;0;0;
12;Hordaland;;;;;A;Arbeiderpartiet;22,83847;370584;29447;38748;68195;-2,02458;-10,35425;4;0;
12;Hordaland;;;;;SV;Sosialistisk Venstreparti;7,01882;370584;8385;12573;20958;2,0812;2,04132;1;0;
12;Hordaland;;;;;RØDT;Rødt;2,14403;370584;3118;3284;6402;1,20594;0,51122;0;0;
12;Hordaland;;;;;SP;Senterpartiet;7,56672;370584;8369;14225;22594;3,20619;1,23436;2;1;
12;Hordaland;;;;;KRF;Kristelig Folkeparti;5,5302;370584;6729;9784;16513;-2,19028;-1,78256;1;0;
12;Hordaland;;;;;MDG;Miljøpartiet De Grønne;3,50841;370584;5056;5420;10476;0,30661;-2,03704;0;0;
12;Hordaland;;;;;V;Venstre;4,36274;370584;4605;8422;13027;-1,43757;-0,5321;1;0;
12;Hordaland;;;;;H;Høyre;30,38644;370584;37493;53240;90733;-0,9235;9,21363;5;0;
12;Hordaland;;;;;FRP;Fremskrittspartiet;15,09057;370584;19620;25440;45060;-0,0463;2,98174;2;0;
12;Hordaland;;;;;ALLI;Alliansen;0,10348;370584;144;165;309;0,10348;0,10348;0;0;
12;Hordaland;;;;;DEMN;Demokratene i Norge;0,10985;370584;154;174;328;0,01384;-0,17837;0;0;
12;Hordaland;;;;;HELSE;Helsepartiet;0,2495;370584;399;346;745;0,2495;0,2495;0;0;
12;Hordaland;;;;;KRISTNE;Partiet De Kristne;0,45446;370584;675;682;1357;-0,39111;-0,22431;0;0;
12;Hordaland;;;;;KYST;Kystpartiet;0,14836;370584;214;229;443;0,05514;-0,17293;0;0;
12;Hordaland;;;;;LIBS;Liberalistene;0,20127;370584;215;386;601;0,20127;0,20127;0;0;
12;Hordaland;;;;;PIR;Piratpartiet;0,16276;370584;180;306;486;-0,20801;-0,26354;0;0;
12;Hordaland;;;;;BLANKE;Blanke;0,69693;370584;866;1215;2081;0,22212;-0,79556;0;0;
12;Hordaland;;;;;FI;Feministisk Initiativ;0,12391;370584;180;190;370;0,12391;-0,38416;0;0;
14;Sogn og Fjordane;;;;;A;Arbeiderpartiet;24,55739;78693;5096;10162;15258;-3,53225;-2,90223;1;0;
14;Sogn og Fjordane;;;;;SV;Sosialistisk Venstreparti;4,47595;78693;1072;1709;2781;1,08224;1,12165;0;0;
14;Sogn og Fjordane;;;;;RØDT;Rødt;1,27149;78693;294;496;790;0,64048;-0,01894;0;0;
14;Sogn og Fjordane;;;;;SP;Senterpartiet;29,68841;78693;5384;13062;18446;9,05969;-3,55209;1;0;
14;Sogn og Fjordane;;;;;KRF;Kristelig Folkeparti;4,31823;78693;911;1772;2683;-3,77698;-2,05976;1;1;
14;Sogn og Fjordane;;;;;MDG;Miljøpartiet De Grønne;2,26936;78693;720;690;1410;0,58232;-0,9547;0;0;
14;Sogn og Fjordane;;;;;V;Venstre;4,07519;78693;833;1699;2532;-2,27248;-2,12045;0;0;
14;Sogn og Fjordane;;;;;H;Høyre;18,62486;78693;3722;7850;11572;-0,39528;5,80476;1;0;
14;Sogn og Fjordane;;;;;FRP;Fremskrittspartiet;9,90311;78693;2165;3988;6153;-0,89922;5,07403;0;0;
14;Sogn og Fjordane;;;;;ALLI;Alliansen;0,06921;78693;22;21;43;0,06921;0,06921;0;0;
14;Sogn og Fjordane;;;;;DEMN;Demokratene i Norge;0,06921;78693;11;32;43;0,0169;0,06921;0;0;
14;Sogn og Fjordane;;;;;HELSE;Helsepartiet;0,17704;78693;38;72;110;0,17704;0,17704;0;0;
14;Sogn og Fjordane;;;;;KRISTNE;Partiet De Kristne;0,41042;78693;126;129;255;-0,43147;-0,49929;0;0;
14;Sogn og Fjordane;;;;;LIBS;Liberalistene;0,09013;78693;22;34;56;0,09013;0,09013;0;0;
14;Sogn og Fjordane;;;;;BLANKE;Blanke;0,51342;78693;120;199;319;0,09984;-0,69485;0;0;
15;Møre og Romsdal;;;;;A;Arbeiderpartiet;21,33394;190887;11016;20337;31353;-3,82326;-2,95213;2;0;
15;Møre og Romsdal;;;;;SV;Sosialistisk Venstreparti;3,90915;190887;2151;3594;5745;1,44423;1,19857;0;0;
15;Møre og Romsdal;;;;;RØDT;Rødt;1,23092;190887;795;1014;1809;0,78288;0,73662;0;0;
15;Møre og Romsdal;;;;;SP;Senterpartiet;12,95972;190887;5635;13411;19046;4,76033;2,32425;1;0;
15;Møre og Romsdal;;;;;KRF;Kristelig Folkeparti;6,13556;190887;3028;5989;9017;-2,78754;-2,11666;1;1;
15;Møre og Romsdal;;;;;MDG;Miljøpartiet De Grønne;2,15496;190887;1449;1718;3167;0,78502;-0,53569;0;0;
15;Møre og Romsdal;;;;;V;Venstre;3,4621;190887;1589;3499;5088;-2,09652;-2,14026;0;0;
15;Møre og Romsdal;;;;;H;Høyre;23,61683;190887;11674;23034;34708;-2,61929;5,58017;3;0;
15;Møre og Romsdal;;;;;FRP;Fremskrittspartiet;22,28452;190887;12178;20572;32750;2,22325;9,18989;2;0;
15;Møre og Romsdal;;;;;ALLI;Alliansen;0,12316;190887;64;117;181;0,12316;0,12316;0;0;
15;Møre og Romsdal;;;;;DEMN;Demokratene i Norge;0,08778;190887;62;67;129;0,02218;-0,00805;0;0;
15;Møre og Romsdal;;;;;KRISTNE;Partiet De Kristne;0,50421;190887;311;430;741;-0,56634;-0,51759;0;0;
